smiles,性质分类,性质名,值,单位
*CCC1CC(*)C2CCCC12,光学性质,band gap chain,6.7838,eV
*CCC1CC(*)C2CCCC12,光学性质,band gap bulk,7.4997,eV
*CC(*)N1CCCC1=O,光学性质,Bandgap Ev,3.421944444,eV
*CC(*)N1CCCC1=O,传输性质,Co2 Permeability Barrer,20.0,Barrer
*CC(*)N1CCCC1=O,力学性质,Compressive Strength,2.473666667,MPa
*CC(*)N1CCCC1=O,热力学性质,Crystallization Temperature,493.4,K
*CC(*)N1CCCC1=O,力学性质,Elongation At Break,27.47,%
*CC(*)N1CCCC1=O,力学性质,Flexural Strength,5500.0,MPa
*CC(*)N1CCCC1=O,传输性质,H2 Permeability Barrer,845.3333333,Barrer
*CC(*)N1CCCC1=O,力学性质,Hardness,1653.333333,MPa
*CC(*)N1CCCC1=O,传输性质,Ion Exchange Capacity Meq Per G,0.5,meq/g
*CC(*)N1CCCC1=O,热力学性质,Lower Critical Solution Temperature,309.5785714,K
*CC(*)N1CCCC1=O,传输性质,Methanol Permeability Cm2 Per S,2.26e-07,cm2/s
*CC(*)N1CCCC1=O,传输性质,O2 Permeability Barrer,20.0,Barrer
*CC(*)N1CCCC1=O,光学性质,Refractive Index,1.517244444,
*CC(*)N1CCCC1=O,传输性质,Swelling Degree,756.0,%
*CC(*)N1CCCC1=O,热力学性质,Td,659.1060714,K
*CC(*)N1CCCC1=O,力学性质,Tensile Strength,7.737777778,MPa
*CC(*)N1CCCC1=O,热力学性质,Tg,419.784058675,K
*CC(*)N1CCCC1=O,热力学性质,Thermal Conductivity,0.265,W/m·K
*CC(*)N1CCCC1=O,热力学性质,Tm,428.7617391,K
*CC(*)N1CCCC1=O,热力学性质,Upper Critical Solution Temperature,293.57,K
*CC(*)N1CCCC1=O,结构性质,Water Contact Angle,60.79317881,°
*CC(*)N1CCCC1=O,传输性质,Water Uptake,73.4875,%
*CC(*)N1CCCC1=O,力学性质,Youngs Modulus,256.230625,MPa
*CC(*)N1CCCC1=O,传输性质,CO2 Permeability Barrer,20.0,Barrer
*CC(*)N1CCCC1=O,传输性质,Ion Exchange Capacity meq Per G,0.5,meq/g
*CCOCC*,热力学性质,Tg,378.0,K
*CC(*)c1ccc(Cl)cc1,传输性质,Co2 Permeability Barrer,4.300000004,Barrer
*CC(*)c1ccc(Cl)cc1,传输性质,O2 Permeability Barrer,1.2,Barrer
*CC(*)c1ccc(Cl)cc1,热力学性质,Tg,383.0,K
*SC(*)(F)F,热力学性质,Tg,155.15,K
*SC(*)(F)F,光学性质,band gap chain,5.6762,eV
*c1ccc(S(*)(=O)=O)cc1,热力学性质,Tg,492.65,K
*c1ccc(S(*)(=O)=O)cc1,光学性质,band gap chain,4.2821,eV
*NCCCCCCCCCCC(*)=O,热力学性质,Crystallization Temperature,443.65,K
*NCCCCCCCCCCC(*)=O,力学性质,Elongation At Break,215.9,%
*NCCCCCCCCCCC(*)=O,力学性质,Impact Strength Kj Per M2,31.53166667,kJ/m2
*NCCCCCCCCCCC(*)=O,热力学性质,Td,661.7055556,K
*NCCCCCCCCCCC(*)=O,力学性质,Tensile Strength,38.61111111,MPa
*NCCCCCCCCCCC(*)=O,热力学性质,Tg,319.5172727,K
*NCCCCCCCCCCC(*)=O,热力学性质,Tm,457.7833333,K
*NCCCCCCCCCCC(*)=O,结构性质,Water Contact Angle,91.68,°
*NCCCCCCCCCCC(*)=O,传输性质,Water Uptake,0.283,%
*NCCCCCCCCCCC(*)=O,力学性质,Youngs Modulus,982.9166667,MPa
*NCCCCCCCCCCC(*)=O,力学性质,Impact Strength,31.53166667,kJ/m2
*CC(*)C(=O)c1ccc(Br)c(OC)c1,热力学性质,Tg,317.15,K
*CC(*)C(=O)c1ccc(Br)c(OC)c1,光学性质,band gap chain,3.8338,eV
*Oc1c(Cl)cc(*)cc1Cl,热力学性质,Tg,449.97,K
*Oc1c(Cl)cc(*)cc1Cl,光学性质,band gap chain,4.3426,eV
*CO*,传输性质,Co2 Permeability Barrer,0.449999996,Barrer
*CO*,传输性质,O2 Permeability Barrer,0.09,Barrer
*CO*,光学性质,Refractive Index,1.6434,
*CO*,热力学性质,Tg,223.15,K
*c1ccc(Oc2cccc(Oc3ccc(-n4c(=O)c5cc6c(=O)n(*)c(=O)c6cc5c4=O)cc3)c2)cc1,热力学性质,Tg,599.15,K
*c1ccc(Oc2cccc(Oc3ccc(-n4c(=O)c5cc6c(=O)n(*)c(=O)c6cc5c4=O)cc3)c2)cc1,光学性质,band gap chain,2.3531,eV
*C=CC1CC(*)C2C(=O)N(CCCCCCCC)C(=O)C12,热力学性质,Tg,329.65,K
*C=CC1CC(*)C2C(=O)N(CCCCCCCC)C(=O)C12,光学性质,band gap chain,5.4744,eV
*c1cc(SCCCCCC)c(*)s1,热力学性质,Tg,305.15,K
*c1cc(SCCCCCC)c(*)s1,光学性质,band gap chain,1.6201,eV
*CC(C)(CC(*)C(=O)OCC)C(=O)OC,热力学性质,Tg,264.65,K
*CC(*)c1ccc2ccccc2c1,热力学性质,Tg,424.0,K
Cc1ccc(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N(C)C5=O)cc3C2=O)cc1,热力学性质,Tg,626.15,K
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccc(*)cc4C3=O)cc1)C2=O,热力学性质,Tg,598.15,K
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccc(*)cc4C3=O)cc1)C2=O,光学性质,band gap chain,2.8765,eV
*c1ccc(-c2ccc(*)[nH]2)[nH]1,热力学性质,Tg,353.15,K
*OCCCCOC(=O)c1ccc(C(*)=O)cc1,光学性质,Bandgap Ev,1.841666667,eV
*OCCCCOC(=O)c1ccc(C(*)=O)cc1,力学性质,Compressive Strength,253.3333333,MPa
*OCCCCOC(=O)c1ccc(C(*)=O)cc1,热力学性质,Crystallization Temperature,466.7602326,K
*OCCCCOC(=O)c1ccc(C(*)=O)cc1,力学性质,Elongation At Break,58.98537037,%
*OCCCCOC(=O)c1ccc(C(*)=O)cc1,力学性质,Flexural Strength,73.935,MPa
*OCCCCOC(=O)c1ccc(C(*)=O)cc1,传输性质,H2 Permeability Barrer,450.0,Barrer
*OCCCCOC(=O)c1ccc(C(*)=O)cc1,力学性质,Hardness,136.6666667,MPa
*OCCCCOC(=O)c1ccc(C(*)=O)cc1,力学性质,Impact Strength Kj Per M2,22.6225,kJ/m2
*OCCCCOC(=O)c1ccc(C(*)=O)cc1,传输性质,Limiting Oxygen Index,22.73095238,%
*OCCCCOC(=O)c1ccc(C(*)=O)cc1,热力学性质,Lower Critical Solution Temperature,305.15,K
*OCCCCOC(=O)c1ccc(C(*)=O)cc1,光学性质,Refractive Index,1.503,
*OCCCCOC(=O)c1ccc(C(*)=O)cc1,热力学性质,Td,624.4442857,K
*OCCCCOC(=O)c1ccc(C(*)=O)cc1,力学性质,Tensile Strength,53.6904878,MPa
*OCCCCOC(=O)c1ccc(C(*)=O)cc1,热力学性质,Tg,320.1451539,K
*OCCCCOC(=O)c1ccc(C(*)=O)cc1,热力学性质,Thermal Conductivity,0.27,W/m·K
*OCCCCOC(=O)c1ccc(C(*)=O)cc1,热力学性质,Tm,496.7439572,K
*OCCCCOC(=O)c1ccc(C(*)=O)cc1,结构性质,Water Contact Angle,56.16470588,°
*OCCCCOC(=O)c1ccc(C(*)=O)cc1,传输性质,Water Uptake,0.334,%
*OCCCCOC(=O)c1ccc(C(*)=O)cc1,力学性质,Youngs Modulus,1930.170833,MPa
*OCCCCOC(=O)c1ccc(C(*)=O)cc1,力学性质,Impact Strength,22.6225,kJ/m2
*Oc1cccc(OC(=O)c2ccc(Oc3ccc(C(*)=O)cc3)cc2)c1,热力学性质,Tg,432.15,K
*Oc1cccc(OC(=O)c2ccc(Oc3ccc(C(*)=O)cc3)cc2)c1,结构性质,crystallization tendency,26.83,%
*Oc1cccc(OC(=O)c2ccc(Oc3ccc(C(*)=O)cc3)cc2)c1,光学性质,band gap chain,4.2359,eV
*Oc1ccc(C2(c3ccc(OC(*)=O)c(Cl)c3)CCCCC2)cc1Cl,热力学性质,Tg,452.15,K
*Oc1ccc(C2(c3ccc(OC(*)=O)c(Cl)c3)CCCCC2)cc1Cl,光学性质,band gap chain,4.9504,eV
*CCCCCCCCCCOC(=O)CCCCC(=O)O*,热力学性质,Tg,217.0,K
*CCCCCCCCCCOC(=O)CCCCC(=O)O*,结构性质,crystallization tendency,88.04,%
*CCCCCCCCCCOC(=O)CCCCC(=O)O*,光学性质,band gap chain,6.5494,eV
*CCCCCCCCCCOC(=O)CCCCC(=O)O*,光学性质,band gap bulk,6.718,eV
*CCC(F)(F)C(*)(F)F,传输性质,Co2 Permeability Barrer,1.979999999,Barrer
*CCC(F)(F)C(*)(F)F,传输性质,O2 Permeability Barrer,0.531999997,Barrer
*CCC(F)(F)C(*)(F)F,光学性质,Refractive Index,1.5774,
*CCC(F)(F)C(*)(F)F,热力学性质,Tg,358.15,K
*CC(C)O*,热力学性质,Tg,206.0,K
*CC(C)O*,结构性质,crystallization tendency,77.61,%
*CC(C)O*,光学性质,band gap chain,5.7517,eV
*CC(C)O*,光学性质,band gap bulk,6.9903,eV
*CC(*)OCC,热力学性质,Tg,230.0,K
*CC(*)(C)C(=O)Oc1ccccc1,热力学性质,Tg,383.0,K
*Oc1ccc(Cc2ccc(Cc3ccc(OC(*)=O)cc3)cc2)cc1,热力学性质,Tg,352.65,K
*Oc1ccc(Cc2ccc(Cc3ccc(OC(*)=O)cc3)cc2)cc1,光学性质,band gap chain,4.7564,eV
*Nc1ccc(*)cc1OC,热力学性质,Tg,363.15,K
*Nc1ccc(*)cc1OC,光学性质,band gap chain,3.512,eV
*CC(*)c1cc(C)ccc1C,热力学性质,Tg,416.0,K
*CC(*)c1cc(C)ccc1C,光学性质,band gap chain,4.9137,eV
*OCCCCCCCCC(*)=O,热力学性质,Tg,235.0,K
*CC(*)(Cl)C(=O)OCC,热力学性质,Tg,365.0,K
*CC(*)(Cl)C(=O)OCC,光学性质,band gap chain,6.3834,eV
*Oc1ccc(C(*)=O)cc1,热力学性质,Tg,420.0,K
*Oc1ccc(C(*)=O)cc1,光学性质,band gap chain,4.5225,eV
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,光学性质,Bandgap Ev,2.484,eV
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,传输性质,Co2 Permeability Barrer,261.7666667,Barrer
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,力学性质,Compressive Strength,313.75,MPa
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,热力学性质,Crystallization Temperature,375.35,K
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,力学性质,Elongation At Break,4.09,%
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,力学性质,Flexural Strength,247.0,MPa
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,力学性质,Impact Strength Kj Per M2,54.99333333,kJ/m2
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,传输性质,Limiting Oxygen Index,68.0,%
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,传输性质,O2 Permeability Barrer,261.7666667,Barrer
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,光学性质,Refractive Index,2.387075,
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,热力学性质,Td,901.6465517,K
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,力学性质,Tensile Strength,1008.481818,MPa
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,热力学性质,Tg,410.1075,K
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,热力学性质,Thermal Conductivity,0.260583333,W/m·K
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,热力学性质,Tm,388.15,K
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,结构性质,Water Contact Angle,59.47722222,°
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,传输性质,Water Uptake,0.78,%
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,力学性质,Youngs Modulus,114482.931,MPa
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,传输性质,CO2 Permeability Barrer,261.7666667,Barrer
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,力学性质,Impact Strength,54.99333333,kJ/m2
*c1ccc(-c2cnc3cc4ncc(*)nc4cc3n2)cc1,热力学性质,Tg,665.15,K
*c1ccc(-c2cnc3cc4ncc(*)nc4cc3n2)cc1,光学性质,band gap chain,2.7084,eV
*CC(*)(F)C(=O)OCCC,热力学性质,Tg,335.15,K
*CC(*)(F)C(=O)OCCC,光学性质,band gap chain,6.5259,eV
*C(F)(F)C(F)(F)C1(F)OC(C(F)(F)F)(C(F)(F)F)OC1(*)F,热力学性质,Tg,473.15,K
*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCCCC,热力学性质,Tg,173.0,K
*CC(*)C(=O)OCC(F)(F)C(F)C(F)(F)F,热力学性质,Tg,251.15,K
*CC(*)C(=O)OCC(F)(F)C(F)C(F)(F)F,光学性质,band gap chain,6.8499,eV
*OC(C)C(=O)OCC(*)=O,热力学性质,Tg,323.15,K
*C(F)(F)C(*)(F)c1ccccc1,热力学性质,Tg,479.15,K
*C(F)(F)C(*)(F)c1ccccc1,光学性质,band gap chain,5.6014,eV
*Oc1ccc(Cc2ccc(OC(*)=O)cc2)cc1,热力学性质,Tg,406.65,K
*Oc1ccc(Cc2ccc(OC(*)=O)cc2)cc1,光学性质,band gap chain,4.8502,eV
*COC(=O)OC1C(*)OC2OC(C)(C)OC21,热力学性质,Tg,401.15,K
*COC(=O)OC1C(*)OC2OC(C)(C)OC21,光学性质,band gap chain,6.6177,eV
*c1ccc(-c2cnc3ccc(-c4ccc5ncc(*)nc5c4)cc3n2)cc1,热力学性质,Tg,649.15,K
*c1ccc(-c2cnc3ccc(-c4ccc5ncc(*)nc5c4)cc3n2)cc1,光学性质,band gap chain,3.3577,eV
*CC(*)n1ccnc1,热力学性质,Tg,448.0,K
*Oc1c(Br)cc(C2(c3cc(Br)c(OC(*)=O)c(Br)c3)CC3CCC2C3)cc1Br,热力学性质,Tg,556.15,K
*Oc1c(Br)cc(C2(c3cc(Br)c(OC(*)=O)c(Br)c3)CC3CCC2C3)cc1Br,光学性质,band gap chain,4.8531,eV
*OCC(*)=O,热力学性质,Tg,317.15,K
*CCCCCCCCC(Cl)C(*)Cl,热力学性质,Tg,243.15,K
*CCCCCCCCC(Cl)C(*)Cl,光学性质,band gap chain,6.9929,eV
*CC(C)CC(*)C,热力学性质,Tg,263.15,K
*c1sc(*)c2c1OCCO2,光学性质,Bandgap Ev,1.659386503,eV
*c1sc(*)c2c1OCCO2,力学性质,Compressive Strength,0.380533333,MPa
*c1sc(*)c2c1OCCO2,热力学性质,Crystallization Temperature,448.15,K
*c1sc(*)c2c1OCCO2,力学性质,Elongation At Break,21.0,%
*c1sc(*)c2c1OCCO2,热力学性质,Lower Critical Solution Temperature,303.15,K
*c1sc(*)c2c1OCCO2,传输性质,Methanol Permeability Cm2 Per S,1.44e-06,cm2/s
*c1sc(*)c2c1OCCO2,光学性质,Refractive Index,1.513571429,
*c1sc(*)c2c1OCCO2,传输性质,Swelling Degree,185.5,%
*c1sc(*)c2c1OCCO2,热力学性质,Td,613.7958333,K
*c1sc(*)c2c1OCCO2,力学性质,Tensile Strength,93.78153846,MPa
*c1sc(*)c2c1OCCO2,热力学性质,Tg,394.65,K
*c1sc(*)c2c1OCCO2,热力学性质,Thermal Conductivity,0.344133333,W/m·K
*c1sc(*)c2c1OCCO2,热力学性质,Tm,367.33,K
*c1sc(*)c2c1OCCO2,结构性质,Water Contact Angle,47.43836066,°
*c1sc(*)c2c1OCCO2,传输性质,Water Uptake,16.6,%
*c1sc(*)c2c1OCCO2,力学性质,Youngs Modulus,1509.425926,MPa
*CCCCCCCCCCC(Cl)C(*)Cl,热力学性质,Tg,241.15,K
*CCCCCCCCCCC(Cl)C(*)Cl,光学性质,band gap chain,7.2165,eV
*CC(*)C(=O)CC,热力学性质,Tg,213.0,K
*CC(*)C(=O)CC,光学性质,band gap chain,5.6211,eV
*C=CC1CC(*)C2C(=O)N(c3ccccc3C)C(=O)C12,热力学性质,Tg,521.15,K
*C=CC1CC(*)C2C(=O)N(c3ccccc3C)C(=O)C12,光学性质,band gap chain,4.5629,eV
*CC(*)n1cc2ccccc2n1,热力学性质,Tg,314.65,K
*CC(*)n1cc2ccccc2n1,光学性质,band gap chain,3.7572,eV
*C([2H])([2H])C(*)([2H])C([2H])=C([2H])[2H],热力学性质,Tg,274.15,K
*C([2H])([2H])C(*)([2H])C([2H])=C([2H])[2H],光学性质,band gap chain,5.9833,eV
*CC(CCCC)O*,热力学性质,Tg,204.15,K
*CC(CCCC)O*,光学性质,band gap chain,5.4348,eV
*CC(*)(F)C(F)(F)F,热力学性质,Tg,322.15,K
*CC(*)(F)C(F)(F)F,光学性质,band gap chain,8.6147,eV
*c1ccc(Oc2ccc(-n3c(=O)c4c(Oc5ccc(OC)cc5)c5c(=O)n(*)c(=O)c5c(Oc5ccc(OC)cc5)c4c3=O)cc2)cc1,热力学性质,Tg,576.65,K
*c1ccc(Oc2ccc(-n3c(=O)c4c(Oc5ccc(OC)cc5)c5c(=O)n(*)c(=O)c5c(Oc5ccc(OC)cc5)c4c3=O)cc2)cc1,光学性质,band gap chain,1.9559,eV
*C(*)(F)F,热力学性质,Tg,391.575,K
*C(*)(F)F,结构性质,crystallization tendency,31.84,%
*C(*)(F)F,光学性质,band gap chain,7.2027,eV
*Oc1cccc(OC2(F)C(*)(F)C(F)(F)C2(F)F)c1,热力学性质,Tg,305.15,K
*Oc1cccc(OC2(F)C(*)(F)C(F)(F)C2(F)F)c1,光学性质,band gap chain,5.2546,eV
*CC(*)C(=O)Oc1cccc(C)c1,热力学性质,Tg,297.65,K
*CC(*)C(=O)Oc1cccc(C)c1,光学性质,band gap chain,4.8262,eV
*c1ccc(C(c2ccccc2)(c2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)C(F)(F)F)cc1,热力学性质,Tg,709.15,K
*c1ccc(C(c2ccccc2)(c2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)C(F)(F)F)cc1,光学性质,band gap chain,2.7963,eV
*CC(CC(*)(C#N)C#N)c1ccc(CCl)cc1,热力学性质,Tg,453.15,K
*CC(CC(*)(C#N)C#N)c1ccc(CCl)cc1,光学性质,band gap chain,5.4178,eV
*CC(*)c1ccccc1Cl,热力学性质,Tg,392.0,K
*CC(*)(F)C(=O)OCC,热力学性质,Tg,367.15,K
*CC(*)(F)C(=O)OCC,光学性质,band gap chain,6.7238,eV
*C(=O)c1ccc(N(*)CCCCCCCC)cc1,热力学性质,Tg,303.15,K
*C(=O)c1ccc(N(*)CCCCCCCC)cc1,光学性质,band gap chain,3.611,eV
*CC(*)(C#N)C(=O)OC(C)C,热力学性质,Tg,339.15,K
*CC(*)(C#N)C(=O)OC(C)C,光学性质,band gap chain,6.4883,eV
*CC(*)(C#N)C(=O)OC(C)C,光学性质,band gap bulk,5.8301,eV
*c1ccc(-c2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2OC(F)(F)F)c(OC(F)(F)F)c1,热力学性质,Tg,646.65,K
*c1ccc(-c2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2OC(F)(F)F)c(OC(F)(F)F)c1,光学性质,band gap chain,2.7837,eV
*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCCCC,热力学性质,Tg,173.15,K
*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCCCC,结构性质,crystallization tendency,21.64,%
*c1ccc(*)s1,光学性质,Bandgap Ev,1.930137168,eV
*c1ccc(*)s1,力学性质,Elongation At Break,106.5,%
*c1ccc(*)s1,传输性质,H2 Permeability Barrer,126.0,Barrer
*c1ccc(*)s1,热力学性质,Lower Critical Solution Temperature,328.15,K
*c1ccc(*)s1,光学性质,Refractive Index,1.55,
*c1ccc(*)s1,热力学性质,Td,528.15,K
*c1ccc(*)s1,力学性质,Tensile Strength,95.0,MPa
*c1ccc(*)s1,热力学性质,Tg,395.6727273,K
*c1ccc(*)s1,热力学性质,Thermal Conductivity,6.4,W/m·K
*c1ccc(*)s1,热力学性质,Tm,497.65,K
*c1ccc(*)s1,结构性质,Water Contact Angle,120.4666667,°
*c1ccc(*)s1,力学性质,Youngs Modulus,85.75,MPa
*CC(*)(C)C(=O)OCC(C)C,热力学性质,Tg,326.0,K
*Nc1ccc(Cc2ccc(NC(=O)c3cc(C(*)=O)cc(N4C(=O)C=CC4=O)c3)cc2)cc1,热力学性质,Tg,560.15,K
*Nc1ccc(Cc2ccc(NC(=O)c3cc(C(*)=O)cc(N4C(=O)C=CC4=O)c3)cc2)cc1,光学性质,band gap chain,2.1937,eV
*Nc1ccc(Cc2ccc(NC(=O)c3cc(C(*)=O)cc(N4C(=O)C=CC4=O)c3)cc2)cc1,光学性质,band gap bulk,2.0738,eV
*CC(CBr)O*,热力学性质,Tg,259.15,K
*CC(CBr)O*,光学性质,band gap chain,6.2128,eV
*CC(*)C(=O)OCCSCC#N,热力学性质,Tg,249.15,K
*CC(*)C(=O)OCCSCC#N,光学性质,band gap chain,5.2595,eV
*CC(*)(C#N)C(=O)OCC,热力学性质,Tg,388.15,K
*CC(*)(C#N)C(=O)OCC,光学性质,band gap chain,6.5171,eV
*CC(*)(C#N)C(=O)OCC,光学性质,band gap bulk,6.1989,eV
*C1C=C(CCCCCC)C(*)S1,热力学性质,Tg,331.2,K
*C1C=C(CCCCCC)C(*)S1,光学性质,band gap chain,4.7988,eV
Cc1cccc(N2C(=O)c3ccc(-c4ccc(Oc5ccc6c(c5)C(=O)N(C)C6=O)cc4)cc3C2=O)c1,热力学性质,Tg,528.15,K
Cc1cccc(N2C(=O)c3ccc(-c4cccc(Oc5ccc6c(c5)C(=O)N(C)C6=O)c4)cc3C2=O)c1,热力学性质,Tg,497.15,K
*Nc1ccc(-c2ccc(NC(=O)c3ccc(C(*)=O)cc3)cc2)cc1,热力学性质,Tg,613.15,K
*Nc1ccc(-c2ccc(NC(=O)c3ccc(C(*)=O)cc3)cc2)cc1,光学性质,band gap chain,3.3951,eV
*CC(COCCCCCC)O*,热力学性质,Tg,187.65,K
*CC(COCCCCCC)O*,光学性质,band gap chain,5.6762,eV
*Oc1ccc(C2(c3ccc(OC(*)=O)cc3)c3ccccc3-c3ccccc32)cc1,热力学性质,Tg,628.15,K
*Oc1ccc(C2(c3ccc(OC(*)=O)cc3)c3ccccc3-c3ccccc32)cc1,光学性质,band gap chain,4.4035,eV
*OC1C(CO)OC(OC2C(CO)OC(*)C(O)C2O)C(O)C1O,热力学性质,Tg,505.65,K
*CC(*)CCCCCC,热力学性质,Tg,210.0,K
*CCCCCCCC(*)C,热力学性质,Tg,215.15,K
*CCCCCCCC(*)C,结构性质,crystallization tendency,31.47,%
*c1ccc2c3ccc(*)cc3n(-c3ccc(OCC(CC)CCCC)cc3)c2c1,热力学性质,Tg,423.0,K
*C(*)F,热力学性质,Tg,375.15,K
*C(*)F,光学性质,band gap chain,6.7608,eV
*c1ccc(Oc2ccccc2Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,热力学性质,Tg,586.15,K
*c1ccc(Oc2ccccc2Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,光学性质,band gap chain,2.1614,eV
Cc1ccc(Oc2ccc(N3C(=O)c4ccc(-c5ccc(Oc6ccc7c(c6)C(=O)N(C)C7=O)cc5)cc4C3=O)cc2)cc1,热力学性质,Tg,505.15,K
*CC(*)(C)C(=O)Oc1ccccc1,热力学性质,Tg,383.15,K
*CC(*)(C)C(=O)Oc1ccccc1,光学性质,band gap chain,5.2323,eV
*CC(*)(C)C(=O)Oc1ccccc1,光学性质,band gap bulk,4.8118,eV
*CC(*)Cl,光学性质,Bandgap Ev,4.029038462,eV
*CC(*)Cl,传输性质,Co2 Permeability Barrer,0.926666667,Barrer
*CC(*)Cl,力学性质,Compressive Strength,25.055,MPa
*CC(*)Cl,热力学性质,Crystallization Temperature,442.4833333,K
*CC(*)Cl,力学性质,Elongation At Break,217.5994667,%
*CC(*)Cl,力学性质,Flexural Strength,62.37888889,MPa
*CC(*)Cl,力学性质,Hardness,47.6,MPa
*CC(*)Cl,力学性质,Impact Strength Kj Per M2,8.218214286,kJ/m2
*CC(*)Cl,传输性质,Ion Exchange Capacity Meq Per G,1.29,meq/g
*CC(*)Cl,传输性质,Limiting Oxygen Index,28.11842105,%
*CC(*)Cl,热力学性质,Lower Critical Solution Temperature,306.15,K
*CC(*)Cl,传输性质,Methanol Permeability Cm2 Per S,1e-06,cm2/s
*CC(*)Cl,传输性质,O2 Permeability Barrer,0.926666667,Barrer
*CC(*)Cl,光学性质,Refractive Index,1.561942857,
*CC(*)Cl,传输性质,Swelling Degree,56.9,%
*CC(*)Cl,热力学性质,Td,554.9093976,K
*CC(*)Cl,力学性质,Tensile Strength,24.71402609,MPa
*CC(*)Cl,热力学性质,Tg,348.623496,K
*CC(*)Cl,热力学性质,Thermal Conductivity,0.20344,W/m·K
*CC(*)Cl,热力学性质,Tm,422.4248,K
*CC(*)Cl,结构性质,Water Contact Angle,83.37372973,°
*CC(*)Cl,传输性质,Water Uptake,5.721666667,%
*CC(*)Cl,力学性质,Youngs Modulus,612.8673684,MPa
*CC(*)Cl,传输性质,CO2 Permeability Barrer,0.926666667,Barrer
